mode,pass_index,direction,phase,elapsed_s,esc_pulse_us,esc_tick,signed_speed_mps,raw_ds_m,raw_dyaw_rad,fresh_odom,leg_motion_m,clearance_m,controller_state,recovery_count
decay,1,forward,closed_loop,7.5418,1411.195,1138,0.124158,,,0,0.426007,1.658,rolling,1
decay,1,forward,closed_loop,7.5633,1411.195,1138,0.124158,,,0,0.426007,1.664,rolling,1
decay,1,forward,closed_loop,7.5816,1410.593,1138,0.107935,0.0059550,-0.0005424,1,0.431962,1.664,rolling,1
decay,1,forward,closed_loop,7.5913,1410.593,1138,0.107935,,,0,0.431962,1.664,rolling,1
decay,1,forward,closed_loop,7.6130,1410.593,1138,0.107935,,,0,0.431962,1.664,rolling,1
decay,1,forward,closed_loop,7.6346,1410.593,1138,0.107935,,,0,0.431962,1.664,rolling,1
decay,1,forward,closed_loop,7.6562,1410.593,1138,0.107935,,,0,0.431962,1.664,rolling,1
decay,1,forward,closed_loop,7.6778,1410.593,1138,0.107935,,,0,0.431962,1.671,rolling,1
decay,1,forward,closed_loop,7.6824,1410.211,1137,0.103452,0.0090754,0.0004516,1,0.441037,1.671,rolling,1
decay,1,forward,closed_loop,7.6946,1410.211,1137,0.103452,,,0,0.441037,1.671,rolling,1
decay,1,forward,closed_loop,7.7163,1410.211,1137,0.103452,,,0,0.441037,1.671,rolling,1
decay,1,forward,closed_loop,7.7380,1410.211,1137,0.103452,,,0,0.441037,1.671,rolling,1
decay,1,forward,closed_loop,7.7595,1410.211,1137,0.103452,,,0,0.441037,1.684,rolling,1
decay,1,forward,closed_loop,7.7801,1410.067,1137,0.109817,0.0129408,0.0010278,1,0.453978,1.684,rolling,1
decay,1,forward,closed_loop,7.7987,1410.067,1137,0.109817,,,0,0.453978,1.684,rolling,1
decay,1,forward,closed_loop,7.8203,1410.067,1137,0.109817,,,0,0.453978,1.684,rolling,1
decay,1,forward,closed_loop,7.8420,1410.067,1137,0.109817,,,0,0.453978,1.684,rolling,1
decay,1,forward,closed_loop,7.8638,1410.067,1137,0.109817,,,0,0.453978,1.696,rolling,1
decay,1,forward,closed_loop,7.8802,1409.956,1137,0.116521,0.0134011,-0.0006967,1,0.467379,1.696,rolling,1
